날짜,성명,거래처,품목,금액(원),category_id
2026-03-02,영업1팀_사원1,거래처_28,품목_736,1800379,cat_id_7
2026-03-02,영업1팀_사원1,거래처_38,품목_524,3436490,cat_id_5
2026-03-02,영업1팀_사원1,거래처_24,품목_899,3649204,cat_id_10
2026-03-02,영업1팀_사원1,거래처_44,품목_219,5246776,cat_id_10
2026-03-02,영업1팀_사원1,거래처_35,품목_881,3114248,cat_id_2
2026-03-02,영업1팀_사원1,거래처_34,품목_619,5184629,cat_id_10
2026-03-02,영업1팀_사원1,거래처_23,품목_756,3558929,cat_id_7
2026-03-02,영업1팀_사원1,거래처_1,품목_811,2398267,cat_id_2
2026-03-02,영업1팀_사원1,거래처_15,품목_67,2479873,cat_id_8
2026-03-02,영업1팀_사원1,거래처_22,품목_317,2011257,cat_id_8
2026-03-02,영업1팀_사원1,거래처_23,품목_98,5030434,cat_id_9
2026-03-02,영업1팀_사원1,거래처_52,품목_111,3603771,cat_id_2
2026-03-02,영업1팀_사원2,거래처_30,품목_1,2589962,cat_id_2
2026-03-02,영업1팀_사원2,거래처_40,품목_61,4264888,cat_id_2
2026-03-02,영업1팀_사원2,거래처_52,품목_204,5366051,cat_id_5
2026-03-02,영업1팀_사원2,거래처_20,품목_965,4678050,cat_id_6
2026-03-02,영업1팀_사원2,거래처_37,품목_288,3215397,cat_id_9
2026-03-02,영업1팀_사원2,거래처_53,품목_696,3755405,cat_id_7
2026-03-02,영업1팀_사원2,거래처_29,품목_8,1740619,cat_id_9
2026-03-02,영업1팀_사원2,거래처_23,품목_543,1682264,cat_id_4
2026-03-02,영업1팀_사원2,거래처_3,품목_729,5320827,cat_id_10
2026-03-02,영업1팀_사원2,거래처_51,품목_642,4157361,cat_id_3
2026-03-02,영업1팀_사원2,거래처_10,품목_363,5404611,cat_id_4
2026-03-02,영업1팀_사원2,거래처_7,품목_1000,4086407,cat_id_1
2026-03-02,영업1팀_사원2,거래처_7,품목_912,1557348,cat_id_3
2026-03-02,영업1팀_사원3,거래처_46,품목_84,1708540,cat_id_5
2026-03-02,영업1팀_사원3,거래처_2,품목_995,1754272,cat_id_6
2026-03-02,영업1팀_사원3,거래처_42,품목_232,3025720,cat_id_3
2026-03-02,영업1팀_사원3,거래처_38,품목_251,3580011,cat_id_2
2026-03-02,영업1팀_사원3,거래처_26,품목_65,1722892,cat_id_6
2026-03-02,영업1팀_사원3,거래처_34,품목_999,2547823,cat_id_10
2026-03-02,영업1팀_사원3,거래처_20,품목_710,3241893,cat_id_1
2026-03-02,영업1팀_사원3,거래처_49,품목_704,2086881,cat_id_5
2026-03-02,영업1팀_사원3,거래처_13,품목_602,3461999,cat_id_3
2026-03-02,영업1팀_사원3,거래처_23,품목_494,4953117,cat_id_5
2026-03-02,영업1팀_사원3,거래처_54,품목_469,1835209,cat_id_10
2026-03-02,영업1팀_사원3,거래처_41,품목_980,4644459,cat_id_1
2026-03-02,영업1팀_사원3,거래처_5,품목_321,3691424,cat_id_2
2026-03-02,영업1팀_사원4,거래처_12,품목_811,4801787,cat_id_2
2026-03-02,영업1팀_사원4,거래처_10,품목_717,4521685,cat_id_8
2026-03-02,영업1팀_사원4,거래처_22,품목_749,2870079,cat_id_10
2026-03-02,영업1팀_사원4,거래처_34,품목_397,2376497,cat_id_8
2026-03-02,영업1팀_사원4,거래처_3,품목_781,2622325,cat_id_2
2026-03-02,영업1팀_사원4,거래처_53,품목_717,3494162,cat_id_8
2026-03-02,영업1팀_사원4,거래처_39,품목_157,3413114,cat_id_8
2026-03-02,영업1팀_사원4,거래처_9,품목_543,4734625,cat_id_4
2026-03-02,영업1팀_사원4,거래처_16,품목_538,4591471,cat_id_9
2026-03-02,영업1팀_사원4,거래처_43,품목_74,4922835,cat_id_5
2026-03-02,영업1팀_사원4,거래처_6,품목_826,1568417,cat_id_7
2026-03-02,영업1팀_사원4,거래처_5,품목_692,5399958,cat_id_3
2026-03-02,영업1팀_사원4,거래처_33,품목_867,5056252,cat_id_8
2026-03-02,영업1팀_사원4,거래처_12,품목_433,4938771,cat_id_4
2026-03-02,영업1팀_사원5,거래처_41,품목_802,4514995,cat_id_3
2026-03-02,영업1팀_사원5,거래처_24,품목_147,4307167,cat_id_8
2026-03-02,영업1팀_사원5,거래처_9,품목_481,3417350,cat_id_2
2026-03-02,영업1팀_사원5,거래처_7,품목_682,4813354,cat_id_3
2026-03-02,영업1팀_사원5,거래처_34,품목_93,5469182,cat_id_4
2026-03-02,영업1팀_사원5,거래처_51,품목_506,4035638,cat_id_7
2026-03-02,영업1팀_사원5,거래처_55,품목_617,1609255,cat_id_8
2026-03-02,영업1팀_사원5,거래처_7,품목_146,3144556,cat_id_7
2026-03-02,영업1팀_사원5,거래처_24,품목_682,2022067,cat_id_3
2026-03-02,영업1팀_사원5,거래처_46,품목_844,5455989,cat_id_5
2026-03-02,영업1팀_사원5,거래처_4,품목_989,3376436,cat_id_10
2026-03-02,영업1팀_사원5,거래처_46,품목_630,3192204,cat_id_1
2026-03-02,영업1팀_사원6,거래처_15,품목_136,3494310,cat_id_7
2026-03-02,영업1팀_사원6,거래처_52,품목_297,3455739,cat_id_8
2026-03-02,영업1팀_사원6,거래처_49,품목_165,4556177,cat_id_6
2026-03-02,영업1팀_사원6,거래처_44,품목_615,2469798,cat_id_6
2026-03-02,영업1팀_사원6,거래처_44,품목_774,3650823,cat_id_5
2026-03-02,영업1팀_사원6,거래처_4,품목_584,1825636,cat_id_5
2026-03-02,영업1팀_사원6,거래처_54,품목_864,3546889,cat_id_5
2026-03-02,영업1팀_사원6,거래처_51,품목_839,2387124,cat_id_10
2026-03-02,영업1팀_사원6,거래처_1,품목_356,4935937,cat_id_7
2026-03-02,영업1팀_사원6,거래처_19,품목_75,3680204,cat_id_6
2026-03-02,영업1팀_사원6,거래처_51,품목_614,5158033,cat_id_5
2026-03-02,영업1팀_사원6,거래처_51,품목_265,5432739,cat_id_6
2026-03-02,영업1팀_사원6,거래처_8,품목_425,3398666,cat_id_6
2026-03-02,영업1팀_사원6,거래처_1,품목_278,3620921,cat_id_9
2026-03-02,영업1팀_사원6,거래처_49,품목_175,5034611,cat_id_6
2026-03-02,영업1팀_사원6,거래처_29,품목_112,4678331,cat_id_3
2026-03-02,영업1팀_사원6,거래처_45,품목_133,3542805,cat_id_4
2026-03-02,영업2팀_사원1,거래처_37,품목_627,2959973,cat_id_8
2026-03-02,영업2팀_사원1,거래처_2,품목_731,2848167,cat_id_2
2026-03-02,영업2팀_사원1,거래처_42,품목_508,3578360,cat_id_9
2026-03-02,영업2팀_사원1,거래처_26,품목_812,4391741,cat_id_3
2026-03-02,영업2팀_사원1,거래처_49,품목_613,1620436,cat_id_4
2026-03-02,영업2팀_사원1,거래처_4,품목_785,1871292,cat_id_6
2026-03-02,영업2팀_사원1,거래처_18,품목_313,2246852,cat_id_4
2026-03-02,영업2팀_사원1,거래처_48,품목_505,5057081,cat_id_6
2026-03-02,영업2팀_사원1,거래처_35,품목_770,3012780,cat_id_1
2026-03-02,영업2팀_사원1,거래처_45,품목_830,1511911,cat_id_1
2026-03-02,영업2팀_사원1,거래처_10,품목_507,1995838,cat_id_8
2026-03-02,영업2팀_사원1,거래처_14,품목_329,2362716,cat_id_10
2026-03-02,영업2팀_사원1,거래처_51,품목_597,3009303,cat_id_8
2026-03-02,영업2팀_사원1,거래처_16,품목_252,5387476,cat_id_3
2026-03-02,영업2팀_사원1,거래처_33,품목_814,3332589,cat_id_5
2026-03-02,영업2팀_사원1,거래처_31,품목_631,3671766,cat_id_2
2026-03-02,영업2팀_사원1,거래처_27,품목_623,1760508,cat_id_4
2026-03-02,영업2팀_사원1,거래처_32,품목_912,5471759,cat_id_3
2026-03-02,영업2팀_사원2,거래처_21,품목_190,5217903,cat_id_1
2026-03-02,영업2팀_사원2,거래처_17,품목_920,3335504,cat_id_1
2026-03-02,영업2팀_사원2,거래처_45,품목_759,4842708,cat_id_10
2026-03-02,영업2팀_사원2,거래처_27,품목_937,1853628,cat_id_8
2026-03-02,영업2팀_사원2,거래처_27,품목_44,1733450,cat_id_5
2026-03-02,영업2팀_사원2,거래처_6,품목_662,5273786,cat_id_3
2026-03-02,영업2팀_사원2,거래처_36,품목_995,4817233,cat_id_6
2026-03-02,영업2팀_사원2,거래처_14,품목_564,3913482,cat_id_5
2026-03-02,영업2팀_사원2,거래처_45,품목_200,1837318,cat_id_1
2026-03-02,영업2팀_사원2,거래처_28,품목_773,3979212,cat_id_4
2026-03-02,영업2팀_사원2,거래처_32,품목_990,3261861,cat_id_1
2026-03-02,영업2팀_사원2,거래처_7,품목_748,5153859,cat_id_9
2026-03-02,영업2팀_사원2,거래처_45,품목_378,4490912,cat_id_9
2026-03-02,영업2팀_사원2,거래처_25,품목_438,2959974,cat_id_9
2026-03-02,영업2팀_사원3,거래처_14,품목_330,1576632,cat_id_1
2026-03-02,영업2팀_사원3,거래처_22,품목_464,5063144,cat_id_5
2026-03-02,영업2팀_사원3,거래처_46,품목_68,3775502,cat_id_9
2026-03-02,영업2팀_사원3,거래처_29,품목_609,3594897,cat_id_10
2026-03-02,영업2팀_사원3,거래처_52,품목_679,5072014,cat_id_10
2026-03-02,영업2팀_사원3,거래처_6,품목_840,3229364,cat_id_1
2026-03-02,영업2팀_사원3,거래처_23,품목_768,4913069,cat_id_9
2026-03-02,영업2팀_사원3,거래처_30,품목_992,3487210,cat_id_3
2026-03-02,영업2팀_사원3,거래처_7,품목_712,4181722,cat_id_3
2026-03-02,영업2팀_사원3,거래처_45,품목_113,4752321,cat_id_4
2026-03-02,영업2팀_사원3,거래처_19,품목_381,4966468,cat_id_2
2026-03-02,영업2팀_사원3,거래처_26,품목_121,4124698,cat_id_2
2026-03-02,영업2팀_사원3,거래처_32,품목_171,2258975,cat_id_2
2026-03-02,영업2팀_사원3,거래처_40,품목_935,5446581,cat_id_6
2026-03-02,영업2팀_사원4,거래처_41,품목_233,5294439,cat_id_4
2026-03-02,영업2팀_사원4,거래처_29,품목_507,1982575,cat_id_8
2026-03-02,영업2팀_사원4,거래처_52,품목_456,2124949,cat_id_7
2026-03-02,영업2팀_사원4,거래처_21,품목_687,3417577,cat_id_8
2026-03-02,영업2팀_사원4,거래처_52,품목_764,4300977,cat_id_5
2026-03-02,영업2팀_사원4,거래처_45,품목_471,4411868,cat_id_2
2026-03-02,영업2팀_사원4,거래처_18,품목_399,1717005,cat_id_10
2026-03-02,영업2팀_사원4,거래처_42,품목_884,2045397,cat_id_5
2026-03-02,영업2팀_사원4,거래처_18,품목_871,3300387,cat_id_2
2026-03-02,영업2팀_사원4,거래처_43,품목_199,4433826,cat_id_10
2026-03-02,영업2팀_사원4,거래처_23,품목_880,5312284,cat_id_1
2026-03-02,영업2팀_사원4,거래처_15,품목_721,3748569,cat_id_2
2026-03-02,영업2팀_사원4,거래처_47,품목_345,3315947,cat_id_6
2026-03-02,영업2팀_사원5,거래처_20,품목_689,3643171,cat_id_10
2026-03-02,영업2팀_사원5,거래처_2,품목_389,4800434,cat_id_10
2026-03-02,영업2팀_사원5,거래처_8,품목_26,4931967,cat_id_7
2026-03-02,영업2팀_사원5,거래처_46,품목_314,5016325,cat_id_5
2026-03-02,영업2팀_사원5,거래처_54,품목_152,3645759,cat_id_3
2026-03-02,영업2팀_사원5,거래처_19,품목_816,2221111,cat_id_7
2026-03-02,영업2팀_사원5,거래처_8,품목_129,2184789,cat_id_10
2026-03-02,영업2팀_사원5,거래처_24,품목_327,4707009,cat_id_8
2026-03-02,영업2팀_사원5,거래처_12,품목_52,3157527,cat_id_3
2026-03-02,영업2팀_사원5,거래처_2,품목_472,4507853,cat_id_3
2026-03-02,영업2팀_사원5,거래처_49,품목_585,5421070,cat_id_6
2026-03-02,영업2팀_사원5,거래처_40,품목_464,2395863,cat_id_5
2026-03-02,영업2팀_사원5,거래처_44,품목_519,1923643,cat_id_10
2026-03-02,영업2팀_사원5,거래처_20,품목_840,3611458,cat_id_1
2026-03-02,영업2팀_사원5,거래처_34,품목_880,4766845,cat_id_1
2026-03-02,영업2팀_사원5,거래처_20,품목_129,4605697,cat_id_10
2026-03-02,영업2팀_사원5,거래처_37,품목_793,4960072,cat_id_4
2026-03-02,영업2팀_사원6,거래처_2,품목_441,4036704,cat_id_2
2026-03-02,영업2팀_사원6,거래처_27,품목_477,4697308,cat_id_8
2026-03-02,영업2팀_사원6,거래처_23,품목_559,2800618,cat_id_10
2026-03-02,영업2팀_사원6,거래처_41,품목_227,3447016,cat_id_8
2026-03-02,영업2팀_사원6,거래처_37,품목_255,5468254,cat_id_6
2026-03-02,영업2팀_사원6,거래처_54,품목_756,4521859,cat_id_7
2026-03-02,영업2팀_사원6,거래처_4,품목_16,2564213,cat_id_7
2026-03-02,영업2팀_사원6,거래처_37,품목_41,5412078,cat_id_2
2026-03-02,영업2팀_사원6,거래처_40,품목_364,2439761,cat_id_5
2026-03-02,영업2팀_사원6,거래처_13,품목_826,2363117,cat_id_7
2026-03-02,영업2팀_사원6,거래처_41,품목_400,3973104,cat_id_1
2026-03-02,영업2팀_사원6,거래처_12,품목_344,1779197,cat_id_5
2026-03-02,영업2팀_사원6,거래처_50,품목_264,3973460,cat_id_5
2026-03-02,영업3팀_사원1,거래처_44,품목_969,1985707,cat_id_10
2026-03-02,영업3팀_사원1,거래처_11,품목_512,4270381,cat_id_3
2026-03-02,영업3팀_사원1,거래처_37,품목_513,5450406,cat_id_4
2026-03-02,영업3팀_사원1,거래처_9,품목_839,2039225,cat_id_10
2026-03-02,영업3팀_사원1,거래처_53,품목_100,2425314,cat_id_1
2026-03-02,영업3팀_사원1,거래처_2,품목_939,4486877,cat_id_10
2026-03-02,영업3팀_사원1,거래처_49,품목_146,4073657,cat_id_7
2026-03-02,영업3팀_사원1,거래처_41,품목_215,2937953,cat_id_6
2026-03-02,영업3팀_사원1,거래처_2,품목_677,1715302,cat_id_8
2026-03-02,영업3팀_사원1,거래처_34,품목_41,3325973,cat_id_2
2026-03-02,영업3팀_사원1,거래처_32,품목_947,1572803,cat_id_8
2026-03-02,영업3팀_사원1,거래처_27,품목_888,4947555,cat_id_9
2026-03-02,영업3팀_사원2,거래처_50,품목_266,1816746,cat_id_7
2026-03-02,영업3팀_사원2,거래처_1,품목_278,2989752,cat_id_9
2026-03-02,영업3팀_사원2,거래처_19,품목_790,2103338,cat_id_1
2026-03-02,영업3팀_사원2,거래처_19,품목_299,4656137,cat_id_10
2026-03-02,영업3팀_사원2,거래처_16,품목_613,4143348,cat_id_4
2026-03-02,영업3팀_사원2,거래처_30,품목_332,1837659,cat_id_3
2026-03-02,영업3팀_사원2,거래처_33,품목_780,5499052,cat_id_1
2026-03-02,영업3팀_사원2,거래처_27,품목_732,3355367,cat_id_3
